year,month,season,date,river,site,month-site,category,name,latin name,biomass,amount,total_biomass,total_biomass_mgL,density_individualL
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,变异直链藻,Melosira varians Ag.,0.006,13,0.078,0.0028,4727.3
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,最小舟形藻,Navicula minima Grun.,0.015,1,0.015,0.0005,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,线形菱形藻,Nitzschia linearis W. Smith,0.01,2,0.02,0.0007,727.3
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,2,0.004,0.0001,727.3
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,普通等片藻,Diatoma vulgure Borg.,0.03,1,0.03,0.0011,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,扁圆卵形藻,Cocconeis placentula (Ehr.)  Hust.,0.005,1,0.005,0.0002,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,双头舟形藻,Navicula dicephala Ehr. ,0.015,1,0.015,0.0005,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,线形双菱藻,Surirella lineatrs W. Smith,0.6,1,0.6,0.0218,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,细小桥弯藻,Cymbella gracilis,0.001,1,0.001,0,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,颗粒直链藻最窄变种,Melosira granulata var. angustissima O.F.Müll.,0.008,6,0.048,0.0017,2181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Cyanobacteria,阿氏项圈藻,Anabaenopsis arnoldii Aptek.,0.001,7,0.007,0.0003,2545.5
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Chlorophyta,镰形纤维藻,Ankistrodesmus falcatus(Corda) Ralfs,0.002,1,0.002,0.0001,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,3,0.006,0.0001,545.5
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,肘状针杆藻,Synedra ulna Ehrenberg ,0.04,1,0.04,0.0007,181.8
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,双头辐节藻,Stauroneis anceps （Ehr）,0.0017,2,0.0034,0.0001,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,中型脆杆藻,Fragilaria intermedia (Grun.)  Grun.,0.01,3,0.03,0.0005,545.5
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,尖针杆藻,Synedra acus Kützing,0.06,2,0.12,0.0022,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,颗粒直链藻,Melosira granulata,0.007,2,0.014,0.0003,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Dinophyta,坎宁顿拟多甲藻,Peridinium cunningtonnii,0.08,4,0.32,0.0058,727.3
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Cyanobacteria,微小色球藻,Chroococcus minutus (Kütz.) Näg.,0.0005,2,0.001,0,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Cyanobacteria,细小平裂藻,Merismopedia minima G. Beck,0.00003,3,0.00009,0,545.5
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,22,0.0044,0.0001,4000
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,简单衣藻,Chlamydomonas simplex Pasch.,0.01,2,0.02,0.0004,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,四角十字藻,Crucigenia puadrata Morren,0.001,1,0.001,0,181.8
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,集星藻,Actinastrum hantzschii Lag,0.001,2,0.002,0,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,实球藻,Pandorina morum (Müll.) Bory.,0.04,2,0.08,0.0015,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,9,0.0045,0.0001,1636.4
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,二形栅藻,Scenedesmus dimorphus,0.0005,1,0.0005,0,181.8
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,华美十字藻,Crucigenia lauterbornei chm,0.001,2,0.002,0,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,镰形纤维藻,Ankistrodesmus falcatus(Corda) Ralfs,0.002,3,0.006,0.0001,545.5
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Cryptophyta,啮蚀隐藻,Cryptomonas erosa Ehr.,0.02,96,1.92,0.0349,17454.5
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Euglena,矩圆囊裸藻,Trachelomonas oblonga Lemm.,0.06,1,0.06,0.0011,181.8
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Euglena,绿裸藻,Euglena viridis Ehr,0.04,48,1.92,0.0349,8727.3
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,颗粒直链藻最窄变种,Melosira granulata var. angustissima O.F.Müll.,0.008,4,0.032,0.0003,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,颗粒直链藻,Melosira granulata,0.007,8,0.056,0.0005,727.3
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,双头辐节藻,Stauroneis anceps （Ehr）,0.0017,1,0.0017,0,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,简单舟形藻,Navicula simplex Krassk.,0.015,1,0.015,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,细小桥弯藻,Cymbella gracilis,0.001,1,0.001,0,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,美丽星杆藻,Asterionella formosa,0.01,1,0.01,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,2,0.004,0,181.8
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,普通等片藻,Diatoma vulgure Borg.,0.03,1,0.03,0.0003,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Cyanobacteria,细小平裂藻,Merismopedia minima G. Beck,0.00003,1,0.00003,0,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Cyanobacteria,小颤藻,Oscillatoria tenuis Ag,0.01,1,0.01,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,1,0.0005,0,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,5,0.001,0,454.5
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,实球藻,Pandorina morum (Müll.) Bory.,0.04,1,0.04,0.0004,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,二形栅藻,Scenedesmus dimorphus,0.0005,1,0.0005,0,90.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Cryptophyta,啮蚀隐藻,Cryptomonas erosa Ehr.,0.02,14,0.28,0.0025,1272.7
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Euglena,绿裸藻,Euglena viridis Ehr,0.04,2,0.08,0.0007,181.8
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,简单舟形藻,Navicula simplex Krassk.,0.015,1,0.015,0.0005,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,长等片藻,Diatoma elongatum Ag.,0.03,1,0.03,0.0011,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,尖针杆藻,Synedra acus Kützing,0.06,3,0.18,0.0065,1090.9
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,变异直链藻,Melosira varians Ag.,0.006,6,0.036,0.0013,2181.8
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,尖布纹藻,Gyrosigma acuminatum (Kütz.) Rabenhorst,0.05,1,0.05,0.0018,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Diatoms,最小舟形藻,Navicula minima Grun.,0.015,1,0.015,0.0005,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Cyanobacteria,小颤藻,Oscillatoria tenuis Ag,0.01,1,0.01,0.0004,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,1,0.0005,0,363.6
2021,Sept,summer,3/09/2021,PX,PX2,9-PX-2,Euglena,绿裸藻,Euglena viridis Ehr,0.04,2,0.08,0.0029,727.3
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,颗粒直链藻最窄变种,Melosira granulata var. angustissima O.F.Müll.,0.008,11,0.088,0.0016,2000
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,小环藻,Cyclotella,0.003,2,0.006,0.0001,363.6
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,谷皮菱形藻,Nitzschia palea (Kütz.)  W. Smith,0.01,1,0.01,0.0002,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,短小舟形藻,Navicula exigua (Greg.) O.Müll.,0.015,1,0.015,0.0003,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,双头辐节藻,Stauroneis anceps （Ehr）,0.0017,1,0.0017,0,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,尖针杆藻,Synedra acus Kützing,0.06,2,0.12,0.0022,363.6
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,1,0.002,0,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,普通等片藻,Diatoma vulgure Borg.,0.03,1,0.03,0.0005,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Cyanobacteria,卷曲鱼腥藻,Anabaena circinalis Rabenh.,0.0015,12,0.018,0.0003,2181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,1,0.0005,0,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,1,0.0002,0,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,美丽鼓藻,Cosmarium formosulum Hoff.,0.005,1,0.005,0.0001,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,简单衣藻,Chlamydomonas simplex Pasch.,0.01,5,0.05,0.0009,909.1
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Dinophyta,微小多甲藻,Peridinium pusillum (Pen.) Lemm.,0.08,1,0.08,0.0015,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Cryptophyta,啮蚀隐藻,Cryptomonas erosa Ehr.,0.02,18,0.36,0.0065,3272.7
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Cryptophyta,尖尾蓝隐藻,Chroomonas acuta Uterm,0.001,18,0.018,0.0003,3272.7
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Euglena,椭圆鳞孔藻,Lepocinclis steinii Lemm.em.Conr,0.03,1,0.03,0.0005,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Euglena,绿裸藻,Euglena viridis Ehr,0.04,47,1.88,0.0342,8545.5
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,广缘小环藻,Cyclotella bodonica Eulenst.,0.007,1,0.007,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,最小舟形藻,Navicula minima Grun.,0.015,1,0.015,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,颗粒直链藻,Melosira granulata,0.007,2,0.014,0.0001,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,钝脆杆藻,Fragilaria capucina Desm.,0.01,1,0.01,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Cyanobacteria,小型色球藻,Chroococcus minor （Kutz） Nag,0.00074,1,0.00074,0,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Cyanobacteria,小颤藻,Oscillatoria tenuis Ag,0.01,1,0.01,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Cyanobacteria,细小平裂藻,Merismopedia minima G. Beck,0.00003,1,0.00003,0,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,1,0.0002,0,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,小空星藻,Coelastrum microporum Nägeli,0.003,2,0.006,0.0001,181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,四尾栅藻,Scenedesmus quadricauda （Turp）Bréb ,0.0005,1,0.0005,0,90.9
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,3,0.0015,0,272.7
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Dinophyta,坎宁顿拟多甲藻,Peridinium cunningtonnii,0.08,3,0.24,0.0022,272.7
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Cryptophyta,尖尾蓝隐藻,Chroomonas acuta Uterm,0.001,3,0.003,0,272.7
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Euglena,绿裸藻,Euglena viridis Ehr,0.04,13,0.52,0.0047,1181.8
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,颗粒直链藻最窄变种,Melosira granulata var. angustissima O.F.Müll.,0.008,2,0.016,0.0006,727.3
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,小环藻,Cyclotella,0.003,2,0.006,0.0002,727.3
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,5,0.01,0.0004,1818.2
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,变异直链藻,Melosira varians Ag.,0.006,2,0.012,0.0004,727.3
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,线形双菱藻,Surirella lineatrs W. Smith,0.6,1,0.6,0.0218,363.6
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,中型脆杆藻,Fragilaria intermedia (Grun.)  Grun.,0.01,2,0.02,0.0007,727.3
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Diatoms,瞳孔舟形藻,Navicula pupula Kütz.,0.02,1,0.02,0.0007,363.6
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,1,0.0005,0,363.6
2021,Sept,summer,3/09/2021,PX,PX3,9-PX-3,Euglena,绿裸藻,Euglena viridis Ehr,0.04,3,0.12,0.0044,1090.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,尖针杆藻,Synedra acus Kützing,0.06,3,0.18,0.0016,272.7
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,小环藻,Cyclotella,0.003,2,0.006,0.0001,181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,颗粒直链藻最窄变种,Melosira granulata var. angustissima O.F.Müll.,0.008,7,0.056,0.0005,636.4
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,1,0.002,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cyanobacteria,卷曲鱼腥藻,Anabaena circinalis Rabenh.,0.0015,68,0.102,0.0009,6181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cyanobacteria,细小平裂藻,Merismopedia minima G. Beck,0.00003,1,0.00003,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Dinophyta,坎宁顿拟多甲藻,Peridinium cunningtonnii,0.08,2,0.16,0.0015,181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Dinophyta,飞燕角甲藻,Ceratium hirundinella (Müll.) Schr.,0.5,3,1.5,0.0136,272.7
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,单角盘星藻,Pediastrum simplex (Mey.) Lemm.,0.002,1,0.002,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,2,0.0004,0,181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,2,0.001,0,181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Euglena,绿裸藻,Euglena viridis Ehr,0.04,18,0.72,0.0065,1636.4
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cryptophyta,尖尾蓝隐藻,Chroomonas acuta Uterm,0.001,15,0.015,0.0001,1363.6
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,扁圆卵形藻,Cocconeis placentula (Ehr.)  Hust.,0.005,1,0.005,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,尖针杆藻,Synedra acus Kützing,0.06,1,0.06,0.0005,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,1,0.002,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,变异直链藻,Melosira varians Ag.,0.006,4,0.024,0.0002,363.6
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cyanobacteria,细小平裂藻,Merismopedia minima G. Beck,0.00003,2,0.00006,0,181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cyanobacteria,小席藻,Phormidium tenue （Menegh）Gom,0.002,7,0.014,0.0001,636.4
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Dinophyta,坎宁顿拟多甲藻,Peridinium cunningtonnii,0.08,1,0.08,0.0007,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,实球藻,Pandorina morum (Müll.) Bory.,0.04,1,0.04,0.0004,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,1,0.0002,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,2,0.001,0,181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,四尾栅藻,Scenedesmus quadricauda （Turp）Bréb ,0.0005,1,0.0005,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,单角盘星藻,Pediastrum simplex (Mey.) Lemm.,0.002,2,0.004,0,181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Euglena,绿裸藻,Euglena viridis Ehr,0.04,32,1.28,0.0116,2909.1
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cryptophyta,尖尾蓝隐藻,Chroomonas acuta Uterm,0.001,7,0.007,0.0001,636.4
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cryptophyta,啮蚀隐藻,Cryptomonas erosa Ehr.,0.02,5,0.1,0.0009,454.5
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,线形菱形藻,Nitzschia linearis W. Smith,0.01,1,0.01,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Diatoms,变异直链藻,Melosira varians Ag.,0.006,5,0.03,0.0003,454.5
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cyanobacteria,小席藻,Phormidium tenue （Menegh）Gom,0.002,10,0.02,0.0002,909.1
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,1,0.0005,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Euglena,绿裸藻,Euglena viridis Ehr,0.04,13,0.52,0.0047,1181.8
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cryptophyta,尖尾蓝隐藻,Chroomonas acuta Uterm,0.001,1,0.001,0,90.9
2021,Sept,summer,3/09/2021,PX,PX4,9-PX-4,Cryptophyta,啮蚀隐藻,Cryptomonas erosa Ehr.,0.02,1,0.02,0.0002,90.9
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Diatoms,广缘小环藻,Cyclotella bodonica Eulenst.,0.007,2,0.014,0.0003,363.6
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Diatoms,美丽星杆藻,Asterionella formosa,0.01,1,0.01,0.0002,181.8
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Diatoms,最小舟形藻,Navicula minima Grun.,0.015,1,0.015,0.0003,181.8
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Cyanobacteria,卷曲鱼腥藻,Anabaena circinalis Rabenh.,0.0015,59,0.0885,0.0016,10727.3
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Cyanobacteria,细小平裂藻,Merismopedia minima G. Beck,0.00003,1,0.00003,0,181.8
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Chlorophyta,实球藻,Pandorina morum (Müll.) Bory.,0.04,46,1.84,0.0335,8363.6
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,17,0.0034,0.0001,3090.9
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Chlorophyta,简单衣藻,Chlamydomonas simplex Pasch.,0.01,9,0.09,0.0016,1636.4
2021,Sept,summer,3/09/2021,PX,PX5,9-PX-5,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,4,0.002,0,727.3
